"pakbus","plot","address","barcode"
"123","T2_R6_D2_C_NW","3","0Xhw-9ezVXpTS3bmw7Tf7"
"123","T2_R6_IR_C_NW","1","xhkUz_PrFJBzc_8sZ4SMS"
"123","T2_R6_IR_S_SE","2","MjFx2922UsyTEPda-7RZA"
"123","T2_R6_VR_C_SE","7","0efMG_ZqT84xR5MVl-rWv"
"123","T2_R6_VR_S_NW","8","fRNQkSKcBBlrGdXBPA_Nd"
"185","T1_R1_D1_S_NE","6","Tml1GP02ySCzaGOd_p3kP"
"185","T1_R1_D2_G_NE","7","1m7xlnmHhhO6jpY7ycO66"
"185","T1_R1_D2_S_SE","0","NpS9pgprp2q0-K8Su3v3N"
"185","T1_R1_D2_B_NW","8","LXtniVF6yd7io9cf8qxGR"
"185","T1_R1_D2_C_SW","9","isrISEacCoCXyadudCrRh"
"192","T1_R2_VR_C_SE","9","XSRahBZXDsmfBC3t8CmBd"
"192","T1_R2_VR_G_NE","e","vIYP62UtJmpBmtPmI2aCL"
"192","T1_R2_VR_G_NE","g","MPCw143379KVP6L1mm298"
"192","T1_R2_VR_S_SW","b","9cysTS6coxRIT_R7no1Cv"
"192","T1_R2_VR_S_SW","d","uO2sYr3FqwGYYt7cP9aXv"
"192","T1_R2_VR_S_SW","c","7bOfA8405s1MrKqY4is8t"
"192","T1_R2_IR_B_NE","6","TNuaw0PweQw0ZyjdOAtVz"
"192","T1_R2_IR_C_SE","3","_OtBh61z0VEPwkAVEqf70"
"192","T1_R2_IR_G_SW","5","su3BjbuwdfJEiXSOjPIkp"
"192","T1_R2_IR_S_NW","4","TjCZBpR4JQQLM60L7C5d0"
"191","T2_R4_IR_N_SE","b","7h-zmPx_Aw66Z-Qbg2l7k"
"191","T2_R4_IR_N_SE","c","oMLF17TLFFwsFaobPtH-Z"
"191","T2_R4_IR_N_SE","a","R-tgKB9OkZBpGkidvGF51"
"191","T2_R4_VR_S_NW","2","D6ZU9774XCLojJfm1eARC"
"191","T2_R4_VR_C_SW","1","QCBsQqXhoBXcyWgUfScmn"
